link,t,x,delta_t,delta_x,q,k,v
link1,360,500.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,360,600.0,120,100.0,0.375,0.01875,20.0
link1,360,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,360,800.0,120,100.0,0.375,0.01875,20.0
link1,360,900.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,0.0,120,100.0,0.375,0.01875,20.0
link1,480,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,200.0,120,100.0,0.375,0.01875,20.0
link1,480,300.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,500.0,120,100.0,0.375,0.01875,20.0
link1,480,600.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,700.0,120,100.0,0.375,0.01875,20.0
link1,480,800.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,480,900.0,120,100.0,0.40625,0.020833333333333336,19.499999999999996
link1,600,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,600,100.0,120,100.0,0.375,0.01875,20.0
link1,600,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,600,300.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,600,400.0,120,100.0,0.375,0.01875,20.0
link1,600,500.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,600,600.0,120,100.0,0.375,0.01875,20.0
link1,600,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,600,800.0,120,100.0,0.375,0.04166666666666667,8.999999999999998
link1,600,900.0,120,100.0,0.2604166666666667,0.11666666666666665,2.2321428571428577
link1,720,0.0,120,100.0,0.375,0.01875,20.0
link1,720,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,720,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,720,300.0,120,100.0,0.375,0.01875,20.0
link1,720,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,720,500.0,120,100.0,0.375,0.01875,20.0
link1,720,600.0,120,100.0,0.40625,0.022916666666666665,17.72727272727273
link1,720,700.0,120,100.0,0.2708333333333333,0.08125,3.333333333333333
link1,720,800.0,120,100.0,0.1875,0.15625,1.2
